1 MESSAGETABLE
{
0x0,  	"The operation completed successfully."
-1073741214,  	"{Driver Entry Point Not Found}\nThe %hs device driver could not locate the ordinal %ld in driver %hs."
-1073741213,  	"{Driver Entry Point Not Found}\nThe %hs device driver could not locate the entry point %hs in driver %hs."
-1073741212,  	"{Application Error}\nThe application attempted to release a resource it did not own. Click on OK to terminate the application."
-1073741211,  	"An attempt was made to create more links on a file than the file system supports."
-1073741210,  	"The specified quota list is internally inconsistent with its descriptor."
-1073741209,  	"The specified file has been relocated to offline storage."
-1073741208,  	"{Windows Evaluation Notification}\nThe evaluation period for this installation of Windows has expired. This system will shutdown in 1 hour. To restore access to this installation of Windows, please upgrade this installation using a licensed distribution of this product."
-1073741207,  	"{Illegal System DLL Relocation}\nThe system DLL %hs was relocated in memory. The application will not run properly.\nThe relocation occurred because the DLL %hs occupied an address range reserved for Windows system DLLs. The vendor supplying the DLL should be contacted for a new DLL."
-1073741206,  	"{License Violation}\nThe system has detected tampering with your registered product type. This is a violation of your software license. Tampering with product type is not permitted."
-1073741205,  	"{DLL Initialization Failed}\nThe application failed to initialize because the window station is shutting down."
-1073741204,  	"{Unable to Load Device Driver}\n%hs device driver could not be loaded.\nError Status was 0x%x"
-1073741203,  	"DFS is unavailable on the contacted server."
-1073741202,  	"An operation was attempted to a volume after it was dismounted."
-1073741201,  	"An internal error occurred in the Win32 x86 emulation subsystem."
-1073741200,  	"Win32 x86 emulation subsystem Floating-point stack check."
-1073741199,  	"The validation process needs to continue on to the next step."
-1073741198,  	"There was no match for the specified key in the index."
-1073741197,  	"There are no more matches for the current index enumeration."
-1073741195,  	"The NTFS file or directory is not a reparse point."
-1073741194,  	"The Windows I/O reparse tag passed for the NTFS reparse point is invalid."
-1073741193,  	"The Windows I/O reparse tag does not match the one present in the NTFS reparse point."
-1073741192,  	"The user data passed for the NTFS reparse point is invalid."
-1073741191,  	"The layered file system driver for this IO tag did not handle it when needed."
-1073741184,  	"The NTFS symbolic link could not be resolved even though the initial file name is valid."
-1073741183,  	"The NTFS directory is a reparse point."
-1073741182,  	"The range could not be added to the range list because of a conflict."
-1073741181,  	"The specified medium changer source element contains no media."
-1073741180,  	"The specified medium changer destination element already contains media."
-1073741179,  	"The specified medium changer element does not exist."
-1073741178,  	"The specified element is contained within a magazine that is no longer present."
-1073741177,  	"The device requires reinitialization due to hardware errors."
-1073741174,  	"The file encryption attempt failed."
-1073741173,  	"The file decryption attempt failed."
-1073741172,  	"The specified range could not be found in the range list."
-1073741171,  	"There is no encryption recovery policy configured for this system."
-1073741170,  	"The required encryption driver is not loaded for this system."
-1073741169,  	"The file was encrypted with a different encryption driver than is currently loaded."
-1073741168,  	"There are no EFS keys defined for the user."
-1073741167,  	"The specified file is not encrypted."
-1073741166,  	"The specified file is not in the defined EFS export format."
-1073741165,  	"The specified file is encrypted and the user does not have the ability to decrypt it."
